text;label;my_label
осуществление общего контроля состояния объектов;0;0
выстраивание системы управления объектами;0;0
обработка правовых документов для справочноправовой системы гарант;0;1
организация обслуживания покупателей на высоком уровне консультирование покупателей демонстрация товара в действии;0;0
участие в получении товара со склада осуществление подготовки товара к продаже;0;0
контроль за размещением товара в магазине;0;0
выполнение планов по продажам;0;0
работа с первичной документацией;0;1
регистрация входящей и исходящей корреспонденции;0;1
участвовать в формировании отчетности тп ос декларации о плате за негативное воздействие на окружающую среду и другой отчетной документации о природоохранной деятельности общества;0;1
участвовать в проведении производственного контроля на объектах организации;0;0
осуществлять контроль сроков действия разрешительной документации и оценку потребности в разработке природоохранной документации по направлению деятельности;0;0
обеспечивать своевременное получение разрешительной документации предусмотренной требованиями законодательства в области охраны окружающей среды на действующие объекты строительства;0;0
осуществлять количественный учет обращения с отходами на объектах сбор актов по вывозу отходов;0;0
принимать участие в согласовании договорной документации с подрядными организациями осуществляющими услуг по сбору транспортированию обезвреживанию утилизации размещению отходов;0;0
обеспечивать доведение до персонала объектов требований стандартов инструкций по направлению деятельности в рамках своей компетенции;0;0
участвовать в поиске и отборе контрагентов в соответствии с правилами принятыми в организации;0;0
выполнении демонтажных работ;0;0
очистка территории стройплощадки и помещений;0;0
земельные работы;0;0
погрузкаразгрузка строительных материалов;0;0
выполнение различных монтажных и отделочных работ;0;0
работа по должностной инструкции в отделе экономики и госзакупок дома отдыха;0;0
встреча прием и оформление клиентов;0;0
презентация услуг компании и помощь в выборе;0;0
информирование клиентов о сроках исполнения анализов и их стоимости;1;1
выдача результатов анализов;0;1
взаимодействие с медицинским персоналом ;0;0
ведение рабочей документации;0;1
поддержание порядка и наличия материалов в центре;0;0
изготовление продукции отдела вывески стенды таблички баннера и прочее;0;0
работа на фрезерном станке;0;0
перевозка грузов и людей в том числе в условиях крайнего севера;0;0
обслуживание автомобиля;0;0
оформление путевых листов;0;1
работа в составе бригады;0;0
осуществляет работу по организационнотехническому обеспечению административнораспорядительной деятельности организации;0;0
